"filename", "language", "JavaScript", "CSS", "Markdown", "XML", "JSON", "JSON with Comments", "Properties", "comment", "blank", "total"
"d:\Project\NewClientPanel\new_client_panel-app\.env", "Properties", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Project\NewClientPanel\new_client_panel-app\.eslintrc.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\README.md", "Markdown", 0, 0, 25, 0, 0, 0, 0, 0, 16, 41
"d:\Project\NewClientPanel\new_client_panel-app\data\increaseCreditData\IncreaseCreditData.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Project\NewClientPanel\new_client_panel-app\data\increaseCreditData\PaymentGatewaysData.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 16, 1, 24
"d:\Project\NewClientPanel\new_client_panel-app\data\ramzNegarServicesData\coinServiceData.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 2, 83
"d:\Project\NewClientPanel\new_client_panel-app\data\ramzNegarServicesData\myPoliceServiceData.js", "JavaScript", 179, 0, 0, 0, 0, 0, 0, 0, 2, 181
"d:\Project\NewClientPanel\new_client_panel-app\data\ramzNegarServicesData\serviceServicesData.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 2, 54
"d:\Project\NewClientPanel\new_client_panel-app\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\Project\NewClientPanel\new_client_panel-app\next.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 1, 2, 7
"d:\Project\NewClientPanel\new_client_panel-app\package-lock.json", "JSON", 0, 0, 0, 0, 6026, 0, 0, 0, 1, 6027
"d:\Project\NewClientPanel\new_client_panel-app\package.json", "JSON", 0, 0, 0, 0, 46, 0, 0, 0, 1, 47
"d:\Project\NewClientPanel\new_client_panel-app\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\0.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\4.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\Exit.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\Jibit_gateway.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Aggregationofgeneralcarviolations.svg", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Announcementofthecollection.svg", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Certificatestatusinquiry.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\DesktopLock.svg", "XML", 0, 0, 0, 145, 0, 0, 0, 0, 1, 146
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\EngineViolationImageQuery.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Inquiringaboutthestatus.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Inquiryofactivelicenseplates.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Inquiryservice.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Mobile.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\MobileLock.svg", "XML", 0, 0, 0, 145, 0, 0, 0, 0, 1, 146
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Passportstatusinquiry.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Paymentofexitfees.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Queryengineviolations.svg", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Queryimageofcarviolation.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Queryingthenegativescore.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\RAMZNEGAR LOGO ONE copy.svg", "XML", 0, 0, 0, 2537, 0, 0, 0, 1, 2, 2540
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\RamzNegarLogo.svg", "XML", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\SMS.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\ServicesSelected.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\TabletLock.svg", "XML", 0, 0, 0, 145, 0, 0, 0, 0, 1, 146
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Vehicleviolationsinquiry.svg", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
