Date : 2024-03-02 11:06:42
Directory : d:\Project\NewClientPanel\new_client_panel-app
Total : 241 files,  25916 codes, 202 comments, 451 blanks, all 26569 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |         88 |     11,141 |        199 |        271 |     11,611 |
| XML                |        145 |      8,474 |          1 |        146 |      8,621 |
| JSON               |          3 |      6,075 |          0 |          3 |      6,078 |
| CSS                |          2 |        193 |          2 |         14 |        209 |
| Markdown           |          1 |         25 |          0 |         16 |         41 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| Properties         |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                               |        241 |     25,916 |        202 |        451 |     26,569 |
| . (Files)                                                                                                                                       |         10 |      6,211 |          5 |         28 |      6,244 |
| data                                                                                                                                            |          5 |        342 |         16 |          8 |        366 |
| data\increaseCreditData                                                                                                                         |          2 |         30 |         16 |          2 |         48 |
| data\ramzNegarServicesData                                                                                                                      |          3 |        312 |          0 |          6 |        318 |
| public                                                                                                                                          |        145 |      8,474 |          1 |        146 |      8,621 |
| public\assets                                                                                                                                   |        145 |      8,474 |          1 |        146 |      8,621 |
| public\assets\images                                                                                                                            |        145 |      8,474 |          1 |        146 |      8,621 |
| public\assets\images (Files)                                                                                                                    |         49 |        998 |          0 |         49 |      1,047 |
| public\assets\images\NewHomePage                                                                                                                |         96 |      7,476 |          1 |         97 |      7,574 |
| src                                                                                                                                             |         80 |     10,884 |        180 |        268 |     11,332 |
| src\common                                                                                                                                      |          3 |        226 |          0 |          6 |        232 |
| src\components                                                                                                                                  |         29 |      4,735 |         37 |         84 |      4,856 |
| src\components\HomePageContent                                                                                                                  |          4 |        523 |          0 |         10 |        533 |
| src\components\applications                                                                                                                     |          7 |      1,125 |         18 |         19 |      1,162 |
| src\components\applications (Files)                                                                                                             |          1 |        164 |          1 |          2 |        167 |
| src\components\applications\addApplication                                                                                                      |          2 |        281 |          0 |          4 |        285 |
| src\components\applications\applicationDetails                                                                                                  |          4 |        680 |         17 |         13 |        710 |
| src\components\applications\applicationDetails (Files)                                                                                          |          2 |        227 |          0 |          5 |        232 |
| src\components\applications\applicationDetails\callServicesReports                                                                              |          2 |        453 |         17 |          8 |        478 |
| src\components\carousel                                                                                                                         |          1 |        109 |          0 |          3 |        112 |
